,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
26,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-027,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (7),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3227,陳博仁  Ext.:23341,CB-0483,A
27,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-028,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (8),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3228,陳博仁  Ext.:23341,CB-0483,A
28,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-029,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (9),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3229,陳博仁  Ext.:23341,CB-0483,A
29,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-030,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (10),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3230,陳博仁  Ext.:23341,CB-0483,A
30,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-031,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (11),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3231,陳博仁  Ext.:23341,CB-0483,A
31,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-032,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (12),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3232,陳博仁  Ext.:23341,CB-0483,A
32,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-033,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (13),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3233,陳博仁  Ext.:23341,CB-0483,A
33,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-034,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (14),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3234,陳博仁  Ext.:23341,CB-0483,A
34,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-035,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (15),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3235,陳博仁  Ext.:23341,CB-0483,A
35,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-036,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (16),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3236,陳博仁  Ext.:23341,CB-0483,A
