,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
22,TC0-1-EOE02-D5683,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (3/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (3/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5683,程正維  Ext.:28057,EE-0230,A
23,TC0-1-EOE02-D5684,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (4/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-104,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-104,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (4/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5684,程正維  Ext.:28057,EE-0230,A
24,TC0-1-EOE02-D5685,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (5/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-105,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-105,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (5/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5685,程正維  Ext.:28057,EE-0230,A
25,TC0-1-EOE02-D5691,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (1/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (1/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5691,程正維  Ext.:28057,EE-0230,A
26,TC0-1-EOE02-D5692,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (2/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-202,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (2/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5692,程正維  Ext.:28057,EE-0230,A
27,TC0-1-EOE02-D5693,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (3/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-203,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-203,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (3/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5693,程正維  Ext.:28057,EE-0230,A
28,TC0-1-EOE02-D5694,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (4/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-204,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-204,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (4/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5694,程正維  Ext.:28057,EE-0230,A
29,TC0-1-EOE02-D5695,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (5/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-205,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-205,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (5/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5695,程正維  Ext.:28057,EE-0230,A
30,TC0-1-EOE02-D5395,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (1/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (1/3),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5395,程正維  Ext.:28057,EE-0230,A
31,TC0-1-EOE02-D5396,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (2/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCT-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (2/3),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5396,程正維  Ext.:28057,EE-0230,A
