,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
20,TC0-1-EOE02-D5681,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (1/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (1/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5681,程正維  Ext.:28057,EE-0024
21,TC0-1-EOE02-D5682,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (2/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (2/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5682,程正維  Ext.:28057,EE-0024
22,TC0-1-EOE02-D5683,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (3/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (3/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5683,程正維  Ext.:28057,EE-0024
23,TC0-1-EOE02-D5684,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (4/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-104,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-104,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (4/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5684,程正維  Ext.:28057,EE-0024
24,TC0-1-EOE02-D5685,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (5/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-105,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-105,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (5/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5685,程正維  Ext.:28057,EE-0024
25,TC0-1-EOE02-D5686,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (6/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-106,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-106,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (6/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5686,程正維  Ext.:28057,EE-0024
26,TC0-1-EOE02-D5691,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (1/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (1/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5691,程正維  Ext.:28057,EE-0024
27,TC0-1-EOE02-D5692,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (2/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-202,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (2/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5692,程正維  Ext.:28057,EE-0024
28,TC0-1-EOE02-D5693,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (3/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-203,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-203,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (3/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5693,程正維  Ext.:28057,EE-0024
29,TC0-1-EOE02-D5694,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (4/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-204,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-204,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (4/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5694,程正維  Ext.:28057,EE-0024
30,TC0-1-EOE02-D5695,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (5/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-205,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-205,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (5/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5695,程正維  Ext.:28057,EE-0024
31,TC0-1-EOE02-D5696,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (6/6),,,,,,,,,,,,,,,A,XK21A-0NMCB-206,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCB-206,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB2 (6/6),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5696,程正維  Ext.:28057,EE-0024
32,TC0-1-EOE02-D5395,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (1/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (1/3),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5395,程正維  Ext.:28057,EE-0024
33,TC0-1-EOE02-D5396,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (2/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCT-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (2/3),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5396,程正維  Ext.:28057,EE-0024
34,TC0-1-EOE02-D5397,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (3/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCT-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT11 (3/3),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5397,程正維  Ext.:28057,EE-0024
35,TC0-1-EOE02-D5399,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT21 (1/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCT-201,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT21 (1/3),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5399,程正維  Ext.:28057,EE-0024
36,TC0-1-EOE02-D5400,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT21 (2/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCT-202,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT21 (2/3),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5400,程正維  Ext.:28057,EE-0024
37,TC0-1-EOE02-D5401,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT21 (3/3),,,,,,,,,,,,,,,A,XK21A-0NMCT-203,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCT-203,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CT21 (3/3),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5401,程正維  Ext.:28057,EE-0024
38,TC0-1-EOE02-D5301,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (1/4),,,,,,,,,,,,,,,A,XK21A-0NMCW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (1/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5301,程正維  Ext.:28057,EE-0024
39,TC0-1-EOE02-D5302,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (2/4),,,,,,,,,,,,,,,A,XK21A-0NMCW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (2/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5302,程正維  Ext.:28057,EE-0024
40,TC0-1-EOE02-D5303,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (3/4),,,,,,,,,,,,,,,A,XK21A-0NMCW-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCW-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (3/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5303,程正維  Ext.:28057,EE-0024
41,TC0-1-EOE02-D5304,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (4/4),,,,,,,,,,,,,,,A,XK21A-0NMCW-104,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0014,TPC-TC(C0)-CD-22-0014,IFA,2022/02/07,2022/01/07,XK21A-0NMCW-104,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-CWPH1 (4/4),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RA,TC0-1-EOE02-D5304,程正維  Ext.:28057,EE-0024
