,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
17,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3300-002,Field Instrument Location Plan of Waste Storage Area,A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1140,王鵬豪  Ext.:25199,IN-0077
18,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3300-003,Field Instrument Location Plan of Main Control Building (1/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1171,王鵬豪  Ext.:25199,IN-0077
19,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3300-004,Field Instrument Location Plan of Main Control Building (2/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1167,王鵬豪  Ext.:25199,IN-0077
20,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3300-005,Field Instrument Location Plan of Administration Building,A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1168,王鵬豪  Ext.:25199,IN-0077
21,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-001,Field Instrument Location Plan of Natural Gas Treatment and Metering Station (1/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1143,王鵬豪  Ext.:25199,IN-0077
22,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-002,Field Instrument Location Plan of Natural Gas Treatment and Metering Station (2/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1144,王鵬豪  Ext.:25199,IN-0077
23,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-003,Field Instrument Location Plan of Natural Gas Treatment and Metering Station (3/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1145,王鵬豪  Ext.:25199,IN-0077
24,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-004,Field Instrument Location Plan of Natural Gas Treatment and Metering Station (4/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1146,王鵬豪  Ext.:25199,IN-0077
25,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-005,Field Instrument Location Plan of TIAC (1/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1182,王鵬豪  Ext.:25199,IN-0077
26,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-006,Field Instrument Location Plan of TIAC (2/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1142,王鵬豪  Ext.:25199,IN-0077
27,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-007,Field Instrument Location Plan of TIAC (3/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1165,王鵬豪  Ext.:25199,IN-0077
28,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-008,Field Instrument Location Plan of TIAC (4/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1166,王鵬豪  Ext.:25199,IN-0077
29,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-009,Field Instrument Location Plan of TIAC (5/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1169,王鵬豪  Ext.:25199,IN-0077
30,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-010,Field Instrument Location Plan of TIAC (6/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1170,王鵬豪  Ext.:25199,IN-0077
31,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-011,Field Instrument Location Plan of TIAC (7/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1175,王鵬豪  Ext.:25199,IN-0077
32,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3400-012,Field Instrument Location Plan of TIAC (8/8),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1176,王鵬豪  Ext.:25199,IN-0077
